역명,승강기- 승강기 종류,승강기 설치위치
서울역,승강기- 에스컬레이터,연결통로(4호선)
서울역,승강기- 에스컬레이터,남영 방면2-3
서울역,승강기- 에스컬레이터,시청 방면9-3
서울역,승강기- 에스컬레이터,4번 출입구
서울역,승강기- 에스컬레이터,4번 출입구
서울역,승강기- 엘리베이터 ,시청 방면5-1
서울역,승강기- 엘리베이터 ,2번 출입구
서울역,승강기- 엘리베이터 ,4번 출입구
서울역,승강기- 엘리베이터 ,3번 출입구
서울역,승강기- 휠체어리프트,C계단측
시청역,승강기- 에스컬레이터,5번 출입구
시청역,승강기- 에스컬레이터,5번 출입구
시청역,승강기- 에스컬레이터,1번 출입구
시청역,승강기- 엘리베이터 ,종각 방면3-2
시청역,승강기- 엘리베이터 ,서울역 방면8-3
시청역,승강기- 엘리베이터 ,"1,2번 출입구 사이"
종각역,승강기- 에스컬레이터,1번 출입구
종각역,승강기- 에스컬레이터,1번 출입구
종각역,승강기- 엘리베이터 ,종로3가 방면6-4
종각역,승강기- 엘리베이터 ,시청 방면4-4
종각역,승강기- 엘리베이터 ,3번 출입구
종각역,승강기- 엘리베이터 ,1번 출입구
종로3가역,승강기- 에스컬레이터,1번 출입구
종로3가역,승강기- 에스컬레이터,1번 출입구
종로3가역,승강기- 에스컬레이터,14번 출입구
종로3가역,승강기- 에스컬레이터,14번 출입구
종로3가역,승강기- 엘리베이터 ,종로5가 방면5-1
종로3가역,승강기- 엘리베이터 ,종각 방면6-4
종로3가역,승강기- 엘리베이터 ,"12,13번 출입구 사이"
종로5가역,승강기- 엘리베이터 ,동대문(1) 방면8-3
종로5가역,승강기- 엘리베이터 ,종로3가 방면3-2
동대문역,승강기- 에스컬레이터,1번 출입구
동대문역,승강기- 엘리베이터 ,동묘앞 방면10-4
동대문역,승강기- 엘리베이터 ,종로5가 방면2-1
동대문역,승강기- 엘리베이터 ,6번 출입구
신설동역,승강기- 엘리베이터 ,제기동 방면3-4
신설동역,승강기- 엘리베이터 ,동묘앞 방면8-1
신설동역,승강기- 엘리베이터 ,12번 출입구
신설동역,승강기- 엘리베이터 ,"2,3번 출입구 사이"
신설동역,승강기- 엘리베이터 ,"4,5번 출입구 사이"
신설동역,승강기- 휠체어리프트,제기동 방면측
신설동역,승강기- 휠체어리프트2,동묘앞 방면측
신설동역,승강기- 휠체어리프트3,연결통로(대합실)
