 장애인화장실명(역명) , 장애인화장실 상세위치 
 서울역, 지하1층 2번출구 부근 
 시청역, 지하1층 5번출구 부근 
 종각역," 지하1층 가게이트 부근 (연결통로 부근, 시청측) "
 종각역, 지하1층 다게이트 부근 (종로3가측) 
 종로3가역, 지하1층 가게이트 부근 
 종로3가역, 지하1층 라게이트 부근 (역무실앞) 
 종로5가역, 지하1층 지하상가 연결통로앞 
 동대문역, 지하1층 4번출입구 부근 
 동묘앞역, 1층역무실 부근 
 동묘앞역, 지하1층 3번출입구 부근 
 동묘앞역, 하선승강장 7-3지점 
 동묘앞역, 상선승강장 4-3지점 
 신설동역, 대합실(지하1층)역무실 앞 
 제기동역, 2번출구우측 
 청량리역, 4번출구 아래 
 시청역," 지하1층 9,10번출구 옆 "
 시청역, 지하2층 환승통로 
 을지로입구역, 지하1층 다게이트 옆 
 을지로3가역, 지하1층 다게이트 옆 
 을지로4가역," 지하1층 1,2번 출구 옆 "
 동대문역사문화공원역, 대합실 1층역무실 앞 
 신당역," 대합실 1층 22,23번기둥 "
 상왕십리역," 대합실 1층 5,6번출구 앞 "
 왕십리역, 지하2층 6-1번 출구 쪽 
 한양대역, 고객센터 맞은편 
 뚝섬역,역무실 옆 
 성수역, 대합실 2층 2번출구측   
 건대입구역, 대합실 1층 통로 중앙 
 구의역, 대합실 1층 통로 중앙 
 강변역, 대합실 1층 통로 중앙 
 잠실나루역, 대합실 1층 통로 중앙 
 잠실역," 대합실 1층 1,2번출구 앞  "
 잠실새내역, 대합실 1층 2번출구 앞 
 종합운동장역," 대합실 1층 1,2번출구 앞 (잠실새내측) "
 종합운동장역, 대합실 1층 5번출구 앞 (삼성측) 
 삼성역, 대합실 1층 통로 중앙 
 선릉역, 대합실 1층 1번출구 앞 
역삼역, 대합실 2층 통로 중앙 
 강남역," 대합실 1층역무실쪽(1,12번출구쪽),게이트내 "
 교대역," 대합실 1층 1,2,3,4,번출구 쪽 "
 서초역," 대합실1층 (1,2,7,8번 출구쪽),게이트외 "
 방배역," 서초방면 대합실 끝(1,4번 출구방향),게이트외 "
 사당역," 지하1층 대합실 1,2번 출구 쪽(방배측) "
 사당역," 지하1층 대합실 7,8번 출구 쪽(낙성대측) "
 낙성대역," 대합실 1층 고객안내부스앞(3,4,5,6번출구쪽) "
 서울대입구역," 대합실 1층 (7,8번출구쪽) "
 봉천역," 대합실1층, 안내부스맞은편(1,6번출구쪽)게이트외 "
 신림역," 대합실 1층역무실 맞은편(3,4번출구쪽),게이트내 "
 신대방역," 대합실 1층역무실쪽(1,2번출구쪽), 게이트내 "
 구로디지털단지역," 지상2층,역무실 앞 (게이트내) "
 대림역," 지상2층, 대합실 중앙(게이트내) "
 신도림역," 지하1층 대합실 (게이트내, 1번출구방향) "
 신도림역," 지하1층 대합실(게이트외,1번출구방향) "
 문래역," 지하1층 대합실(게이트외, 2,3번출구방향) "
 영등포구청역," 지하1층 대합실(게이트내, 환승통로입구) "
 당산역," 지상2층, 대합실 중앙(게이트내) "
 합정역," 지하1층대합실, 1,2번출구 "
 홍대입구역," 지하1층대합실, 2번출구 옆  "
 신촌역," 지하1층대합실, 5번출구 옆  "
 이대역, 지하1층 대합실 5번출구 옆 
 아현역, 지하1층 대합실 이대역방면 끝단 
 충정로역, 지하2층 아현방면 끝단 
 신설동역, 대합실(지하1층)역무실 옆 
 용두역, (내선대합실)5번출구 입구 
 용두역," (외선대합실)1,2번 출구 입구 "
 용두역, (내선승강장)3-3 승강장 앞 
 용두역, (외선승강장)2-2 승강장 앞 
 신답역, 1층 대합실 
 용답역, 대합실 
 도림천역," 지상1층,역무실 옆(게이트외) "
 양천구청역," 지하1층, 대합실(게이트내, 신청자량사업소출구 옆) "
 신정네거리역," 지하1층 대합실(게이트외, 2번, 3번 출구방향) "
 구파발역, 지하1층 대합실 가 게이트 외부 
 연신내역, 지하 1층 대합실 라 게이트 내부 
 불광역, 지하1층 대합실 나 게이트 외부 
 녹번역, 지하1층 대합실 게이트 외부 
 홍제역, 지하2층 대합실 다게이트 앞 
 홍제역, 지하1층 대합실 상가(다이소) 옆 
 무악재역, 지하2층 대합실 가게이트 내부 
 독립문역, 지하1층 대합실 나게이트 내부 
 경복궁역, 지하2층 대합실 가게이트 내부 
 안국역, 지하3층 대합실 A계단 방면 
 종로3가역, 지하3층 
 종로3가역, 지하2층 
 을지로3가역, 가 대합실역무실 아래 지하 2층 
 동대입구역, 지하2층 가게이트 내 대합실 
 약수역, (지하1층 게이트 내 대합실) 
 금호역, 지하1층 가 게이트 내 대합실 
 옥수역, 3층 환승통로측 
 옥수역, 3층 금호역측 
 압구정역, 지하 1층 
 신사역, 지하 1층 
 잠원역, 지하1층 게이트 내 대합실 
 교대역," 대합실1층역무실 맞은편,게이트외 "
 남부터미널역, 대합실 B2층역무실 앞 
 양재역," 대합실 B1층 상선 방향(9-4), 게이트 내 "
 매봉역, 대합실 B1층 게이트옆 
 도곡역, 대합실  B2층  게이트 밖 
 대치역, 대합실 B1층역무실 앞 
 학여울역, 대합실 B4층 외부 E/V 옆 (게이트외) 
 대청역, 대합실  B2층 상선 게이트안 
 일원역," 대합실 B2층 7번출구옆,역무실 앞 "
 수서역, 대합실 B1층역무실좌측(게이트내) 
 가락시장역, 대합실 B2층 고객상담실앞(게이트내) 
 가락시장역, 대합실 B2층 고객상담실앞(게이트외) 
 경찰병원역, 대합실 B1층역무실 앞(게이트내) 
 경찰병원역, 대합실 B1층 고객안내부스옆(게이트외) 
